diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,patient_number
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},12594f333e663f725eafbb011efb36cc28ef09ea,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-137.40974048656201,-1023.0,1322.0,acd42c92421d3a9df6f4cb58f1548237e3807fb3,"(1.0, 1.0, 1.0)","(92, 92, 92)","(3, 1, 7, 85, 89, 78)",184422.0,1.0,"(42.265206970968755, 46.79903156890176, 48.9044636757003)","(42.265206970968755, 46.79903156890176, 48.9044636757003)",0.8459346778065617,0.6621105014018885,53.51566640696507,80.82588373640985,83.81527307120105,94.82615672903758,91.67878707749138,100.12991560967181,184317.125,68.37341791699048,0.5997393163148063,26115.523102962834,0.1416879907548625,184422.0,-24.0,59.0,1425913723.0,2.778570474953573,35.0,21.089553295609278,679.0,43.08732542778549,12.572540152476385,27.0,-849.0,1528.0,15.172711265455662,87.93064535036693,-3.332990711897768,1425913723.0,0.2370956691875208,7573.729625846375,1245.057116488171,26613.007695372373,-643.2391123183759,33.66694457613119,3.3668951831541274,0.8139217073922336,1.0021642301970635,1.8527729515100024,2.3290270868423617,0.6656333949959528,0.6426680006969527,0.999138606397979,0.984629733858019,-0.22151349574624588,0.8130683189243502,0.4424995214015092,35.177842947801075,0.09112923421698597,4.723158345269683,0.8639602389444913,0.20483729855755242,70.35568589560218,3.492645935184368,9.258459939821323,6.762877320189163,8783.333387556799,0.04762627770849898,33.04983797232115,43725.657502900955,12.207616837499023,1238.8615566472547,158.97756232987388,202515.9113554782,0.12540315707433228,0.0008978538164392755,0.05258303821089897,50.61513218081068,9.859058923675778e-05,20343.45701800592,0.18012361646430508,18.775375282190616,1217.1050117404955,4.701381626799101,5931.039011210831,0.003896150620103373,0.0009672892051859957,4.687232453966882,54167.181589813124,0.47476967113398644,0.6068556813261892,1.7787124208906222,0.712208298752451,852.3214801840969,0.0007359529795295317,327.4280055668558,0.03505277867111185,76.33514571050102,889.8579381222568,811469.8075152553,1034445458.6318381,637.1984032559913,0.0021336685350442936,2944.5640723691254,0.3152300687687748,0.5797504149692436,474.18298682293903,0.0014159294924583742,7.440152780881469,0.05065013935430697,811080.0103191268,4.638003576181803,5.446082904968082e-05,1208.990130928983,0.004242342429635777,0.3528600071678195,002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},793be327098729932754ab0c539a10d3be8007c0,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-201.14058390523547,-1021.0,935.0,3beb8c3ccad22baf84c7330e3769946407d9cf9f,"(1.0, 1.0, 1.0)","(92, 92, 92)","(8, 0, 10, 76, 92, 72)",110161.0,1.0,"(44.63953667813473, 42.0429916213542, 56.328582710759704)","(44.63953667813473, 42.0429916213542, 56.328582710759704)",0.5693006969229764,0.2972025170409132,30.693999974161272,103.27637962075504,74.0,92.78469701410896,79.64923100695951,131.56367279762298,110062.33333333333,58.795314893777714,0.5804455093375912,19134.413105762833,0.17385069465874944,110161.0,-83.0,361.0,5505219107.0,4.702151559738133,143.0,5.419671822490553,935.0,136.68957400382948,80.0402592569058,63.0,-806.0,1741.0,70.7322223568973,223.5493283847981,-0.23504085630334934,5505219107.0,0.06386529510702435,43567.859119381596,1437.847654017147,317781.78527312784,-340.61256865135135,245.38587998584083,13.10885596910448,0.897273882437626,2.2041557665756595,2.7675831784573313,7.736131292770376,0.527170776904805,0.47591423008669104,0.9974501662127004,0.9712714639381915,-0.3267326748938909,0.9662775122555082,0.3572818515260875,37.145126900583584,0.017196175503959493,7.764738861951489,0.9184327448941906,0.07223306758627404,74.29025380116715,5.631055151536671,64.6236839887364,8.419104862407185,7055.79741469304,0.06404986714620456,34.50282318537968,7035.46477428491,69.80161539792833,1418.1974019843683,97.17429035684135,124644.36958633273,0.08381782939582999,0.0012070150822693535,0.12107306110340056,177.60804127987066,0.00021787575456624214,3827.866424526569,0.04704851459655986,86.53393159682352,1456.266482886054,2.8448501869688667,3850.538682876412,0.0029591293055960454,0.0013076407603380949,5.993563748487697,52660.61126340106,0.6455961158166604,0.7339795669694635,0.9386194462275371,0.8288687383216395,1226.5556033498715,0.0011371377307690716,314.40600201991055,0.022681142837967867,180.60147013366975,1469.1121050353483,43606.086928293174,55665999.14904054,34.363483462263694,0.0020488763418028658,4366.718511037368,0.31501359912259186,0.5790990805979059,810.8716535702498,0.0011823588904757247,8.05320738907593,0.12583400659035412,43542.93247932123,1.2453260036682692,0.000216962582959674,2124.6732991252165,0.029745506287594543,0.593370980923771,004
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},5728d2537b555bb664252698dc1a51694866b4f4,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-273.1879469055642,-1024.0,851.0,96ce82201b819e9f259943be65a6209a555a6d1a,"(1.0, 1.0, 1.0)","(92, 92, 92)","(28, 33, 32, 36, 27, 29)",8250.0,1.0,"(43.74884848484849, 46.885090909090906, 44.84569696969697)","(43.74884848484849, 46.885090909090906, 44.84569696969697)",0.6575899119060469,0.6374467076295461,20.14200174722893,31.59793831570703,37.94733192202055,28.231188426986208,37.94733192202055,39.242833740697165,8212.958333333334,20.77848547343849,0.6899232315439154,2853.3153217035924,0.3474162665751085,8250.0,41.0,89.0,63590074.0,2.0967824698248676,23.0,61.468339872012216,178.0,26.72423404958678,56.876363636363635,66.0,-843.0,1021.0,9.831185185170005,87.79457703967688,-6.719799448050633,63590074.0,0.3475667805325986,4472.96701707989,1363.6045764851287,29542.6880615621,-660.8231889692207,20.971210463168987,2.3699253151470403,0.7951526879702618,0.6470711021476684,1.4301549542752012,1.938644829848734,0.7694408843994467,0.7608855821332813,0.9987342238175482,0.9857161218528201,-0.26343705917781207,0.7990323845381457,0.36838302633045344,36.86399105328657,0.18243155827275925,3.5010573825150724,0.878021873532468,0.3630913557232685,73.72798210657312,2.828695621766445,5.835283944579009,6.343429240053329,339.3241212121212,0.041130196510560144,43.850242292011025,2867.425939393939,7.1960724921946735,1361.4717575757575,246.27587878787878,340463.50933333335,0.1787397332375413,0.0009680586385378893,0.036572360371184616,37.11676417523622,0.0002257358954988824,1035.1476906099622,0.2540354869633784,13.72805272343775,1337.8379577116002,7.598240860539927,10450.789790989314,0.006021932886431743,0.0012257091994342048,4.478240652278969,1492.5514707419761,0.36210898539908354,0.4912447552447553,3.1943516617822776,0.6170234366453703,807.1669570330621,0.0009452964898312178,12.915492957746478,0.04547708787938901,72.59140051577069,931.2464788732394,78896.06338028169,109121921.90140845,57.07992265318898,0.006903388354334043,98.8169014084507,0.34794683594524894,0.6117687059514602,512.0107957465933,0.006010770464847511,6.445624212509823,0.03442424242424243,78052.2017952787,0.3192361746468855,0.0011584858008878434,493.9439694152586,0.004182293302986566,7.9263924028377275,005
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},9f1b576cfc98ab355c1ac62a08abd4f84c89be21,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-103.11468392989234,-1023.0,1309.0,ae1efde11879c6cefdfef43a88893a5cc7d3bf0e,"(1.0, 1.0, 1.0)","(92, 92, 92)","(5, 2, 8, 82, 89, 75)",190184.0,2.0,"(41.23520906069911, 48.602264123164936, 41.48823244857611)","(41.23520906069911, 48.602264123164936, 41.48823244857611)",0.7818608347402471,0.7147802361655797,57.32252065576582,80.19600676603905,87.66413177577246,91.0659101969557,97.49358953285082,97.67804256842989,190077.83333333334,62.7021167929298,0.6099491563316046,26210.670939256517,0.13789441135564562,190184.0,-152.0,53.0,4079384733.0,3.1593967229341127,42.0,12.094289089418742,891.0,82.89533864966842,-20.452798342657637,21.0,-936.0,1827.0,22.885936575339663,146.45707100589394,-2.634557245373129,4079384733.0,0.20314933796303708,21031.356687580042,1460.2369683094598,178115.59689611383,-3578.9863830935474,116.26526098575052,4.625001572950978,0.9229561796161108,1.1343793852905049,1.990505146967139,3.2882753361906927,0.6569624173876668,0.6316656095091193,0.9991678987850692,0.9854378810087568,-0.28887165481572213,0.9012372543496723,0.4235785215182537,37.846070183787596,0.07921643464735038,5.248166099206628,0.9400720522668968,0.17478938733878574,75.69214036757515,3.9348795216079298,30.222565639675377,7.213383241388271,8658.731596769445,0.04552818111286672,37.639439453201376,38635.753691162245,33.73502688706333,1455.2300824464728,162.84412989525933,253436.21754721744,0.10845533745850994,0.0008956260883078068,0.05930840966983439,68.00534697397606,9.943081140226607e-05,17255.34211731337,0.14738035506843028,48.25371522483557,1398.5701492920782,4.830708612143682,7339.403561022647,0.0036252946110437623,0.0010255952832865464,5.122087007235407,57257.73060845361,0.4862331674098748,0.6080965316179635,1.9070133768511037,0.7218536215354395,975.6964025797006,0.0008181742297977972,316.17369308600337,0.028061923589775748,117.164789943485,1080.130292003195,611416.9507411023,956037803.3994852,391.4448398698175,0.001889860138339938,3246.1751131623323,0.2881135273952545,0.551879226276541,599.6044641863026,0.0010591164492006718,7.968079701923623,0.05924262819164598,611132.025210262,3.6014025715567675,5.676665846302051e-05,1723.9199416906906,0.009181368148031591,0.5111257271308385,007
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},6d505a43db6064df0112884d2876f6e83e97804c,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-618.6579669906304,-1024.0,1468.0,066adee7826ca6ebe2d44d271a981815b2161c58,"(1.0, 1.0, 1.0)","(92, 92, 92)","(34, 33, 34, 24, 26, 24)",6231.0,1.0,"(46.442304606002246, 44.606002246830364, 44.638741774995985)","(46.442304606002246, 44.606002246830364, 44.638741774995985)",0.9434056170111845,0.6795535470057421,16.63922318203508,24.48552178904966,28.30194339616981,27.65863337187866,28.844410203711913,29.120439557122072,6201.5,23.099778791239196,0.7352577750653552,2220.115986825524,0.357996611598085,6231.0,-632.0,31.0,857819180.0,5.013380983556475,462.5,1.9661456920079798,111.0,224.42701202443425,-267.8167228374258,-224.0,-956.0,1067.0,182.66378804866795,371.0385213645378,-0.42757583385257597,857819180.0,0.03798478525415385,65943.78730500407,994.3758365568762,260795.72070181143,-3620.162974953055,342.91270903821766,34.45929931416017,0.8159412559031651,4.243892178180685,3.6045205837339958,15.753889606004684,0.35607949332526256,0.27726347475853697,0.9833360342769034,0.9179532081964525,-0.19544823387872792,0.9126233806650094,0.2409227534045034,30.28452225535043,0.006604309753755467,8.839741979246366,0.8407466878347718,0.04950946616137471,60.569044510700856,5.8568974385598676,94.34300208809441,7.562102495317067,980.3949606804687,0.15734151190506637,17.29143216466165,236.68319691863263,105.44022614496747,935.5292890386776,34.69603594928583,52020.00080243942,0.041785682331137323,0.0027804075515918555,0.3046379458756551,201.94392467321208,0.0011333469471829776,178.2042693032797,0.03255656998162147,101.31641520533861,877.5698870998601,1.5548563004491684,1654.528129095499,0.003748970666525193,0.0029408533764796433,5.581240525127744,4475.688752069482,0.8172738359760033,0.8780045183511722,0.25350762501990487,0.9214120427331405,776.3152332305726,0.0027954602119707253,71.00629779577147,0.031941654429047,72.78923146129624,642.6518218623481,305.15204678362574,492130.49437696807,0.21120296751970202,0.003827234252867165,874.089518668466,0.3932026624689456,0.6505567379921234,398.18892717536414,0.002603921296331485,6.902112459727654,0.3567645642753972,297.2954117880604,0.29144824075065945,0.002476095943858015,1625.667447850248,0.23602064618873433,2.0443356629047984,008
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e73b20e78dcb299acfe3ccdb16915e5da5e64e8b,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-322.67909997328843,-992.0,1364.0,179f5ea4ac0ad50d2139b29dcfc03666dfc1ef43,"(1.0, 1.0, 1.0)","(92, 92, 92)","(39, 38, 40, 13, 16, 11)",1106.0,1.0,"(44.714285714285715, 45.46745027124774, 44.29746835443038)","(44.714285714285715, 45.46745027124774, 44.29746835443038)",0.7850216013777662,0.6756231024260989,9.78712462572129,14.486071584255551,13.892443989449804,17.08800749063506,16.278820596099706,17.11724276862369,1092.2083333333333,11.371879112745248,0.8229935672638007,623.196024693456,0.5705834735681893,1106.0,-395.0,44.0,49747874.0,4.334301735906991,262.0,2.975675993832367,265.0,147.76426789270425,-117.76130198915008,-47.0,-726.0,991.0,110.46023830823172,212.08487587530897,-0.9715449184930989,49747874.0,0.07328266990180146,31112.2703288654,761.9638658144171,49733.83026998375,-1441.1285711214332,118.53984919999121,30.54800183466854,0.5858897412138695,3.691513853071285,3.417964283807242,16.61437624750855,0.417016917176337,0.3514299075465158,0.9832341267088368,0.9243583222394572,-0.19837185114267544,0.8854434751642782,0.2943448334124642,27.201295562314478,0.019259717360017643,7.2686230330657695,0.7534153850998455,0.07853665539009998,54.40259112462895,4.9430136895422,37.27196275866495,6.844621293427419,148.13381555153708,0.13393654208999736,22.03403104552188,81.0506329113924,49.924387444450616,716.367088607595,46.85352622061483,46096.27848101266,0.05123362469619472,0.0035342445841606237,0.3233350375319094,151.47840750509988,0.0024895677273012616,53.80696997173822,0.05738702284686525,52.031392798008255,673.4011576671811,1.7038646426616988,1351.058403819626,0.0047552222474229805,0.003968791630094444,5.061803330219957,721.5524264516669,0.769343820662248,0.8468493531784669,0.30477100854634065,0.8978557392858307,577.6016313491784,0.003846900807663455,16.386138613861387,0.04055974904421135,50.14059283403587,469.4777227722772,163.77722772277227,160960.48514851485,0.17454733036600478,0.007171098338135796,204.41584158415841,0.5059798059013823,0.7383536437478857,318.796131682172,0.006495320016546854,5.951022804375938,0.36528028933092227,156.28264385844525,0.09501105398887026,0.007916250096069312,1518.545746076143,0.18237875682701976,5.4164580535629065,011
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},51a099ec121e376fb2ac8cd6c124e5022cb3a8e8,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-521.2562284252487,-1024.0,1259.0,c83b2b3f982d3629dd2ffe00ebfce3558473fe96,"(1.0, 1.0, 1.0)","(92, 92, 92)","(26, 18, 16, 40, 56, 60)",30927.0,1.0,"(46.299673424515795, 48.6368545284056, 42.81391664241601)","(46.299673424515795, 48.6368545284056, 42.81391664241601)",0.7394062539862104,0.4849189223176482,26.703459161358566,55.067884407831684,57.8013840664737,61.85466837676846,55.036351623268054,69.0869017976635,30856.625,40.717538124940475,0.5148713997141203,9240.262410195359,0.2994579741042761,30927.0,-695.0,38.0,3875595249.0,4.417268333465442,428.0,2.7087297612460257,258.0,250.5405491350666,-197.582985740615,-30.0,-1019.0,1277.0,190.23512559416446,353.9975939706462,-1.0400738817128738,3875595249.0,0.10433377489122928,86275.26028283044,1285.6903062675383,706508.333881949,-12004.525083135757,490.77285778071115,26.77087453090657,0.8961720459896741,2.99586118137489,3.1224954858676153,17.474652235120896,0.5308397532786753,0.4817619749865265,0.990748186947864,0.9504063790222882,-0.2856629745174598,0.953271393186011,0.2706407508260006,34.20035289308346,0.052105815037334795,7.461055170425703,0.9188504760401137,0.1966496640638892,68.40070578616694,5.259685757591173,129.38593307790444,7.812203046702046,2280.704206680247,0.07374476045786035,62.78450231515668,3226.730656061047,138.28760006166323,1268.9100139037087,140.99890063698388,251546.0188185081,0.16748655618390648,0.003678399344560285,0.19706822151502199,147.4357664907452,0.0007885784074240326,1021.4112289593128,0.047046987628961354,145.88086650559296,1079.3494590376877,3.77727968600116,5983.219930771354,0.007987371116476278,0.0044279258968546046,5.908903354394168,14420.084107001776,0.666475001991656,0.6983119057035052,1.7070808626910525,0.8402611568019758,823.8943429647172,0.003929864781792721,193.296095753776,0.027542903356194928,97.57516889964423,720.6459105158165,12571.567255628384,22946871.547164433,7.065062802934318,0.004263500463098953,2799.1413508121973,0.3988517171291247,0.6554768852285758,458.40317405445086,0.0024816657630558495,7.187488219746435,0.22692146021275908,12552.147271933809,0.718215089001439,0.0005338474193486882,1647.829002575773,0.15172573955141086,0.9576135144010168,014
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},a006099e256744eedd9278354a398b33c134a07e,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-136.67592026588312,-1020.0,1031.0,74a10e3006a8ebac582dea55c2fabc8902f31307,"(1.0, 1.0, 1.0)","(92, 92, 92)","(13, 25, 16, 67, 43, 59)",67630.0,1.0,"(47.34638474049978, 47.32071565873133, 46.81976933313618)","(47.34638474049978, 47.32071565873133, 46.81976933313618)",0.7672379697829801,0.5934334057665116,35.57870285879325,59.95399401696609,71.55417527999327,58.855755878248644,67.89698078707183,72.11795892841117,67549.70833333333,45.998980649958,0.6963911940693486,11518.073329907922,0.17051255459269202,67630.0,-156.0,41.0,927281039.0,2.9705637780967917,45.0,12.185101607160439,206.0,71.75144443364138,-24.681724086943664,16.0,-744.0,950.0,27.03705980977501,117.09436506397446,-2.9301062022796076,927281039.0,0.2193738595001475,13101.902825831312,907.0237655558914,64644.74133874104,-1734.994341786543,65.48974800894649,3.9930184581607873,0.8835586240473122,1.1099647647490176,1.9976866577849905,2.7218917570735734,0.6575125881469523,0.6312859442527541,0.9974567074003267,0.9738206760176767,-0.2474255311448098,0.8549470732082043,0.4161310335224266,29.86039796486704,0.09322536891158241,4.9343850586935,0.8927522350088063,0.17749603304237757,59.72079592973408,3.662079943618984,17.370691616776817,6.899493642034213,3035.5733254472866,0.044885011466025235,42.0834093240593,14836.254117994973,21.036557645322443,893.305574449209,166.73041549608163,163849.72183942038,0.17931212330738916,0.0017510881800669917,0.06596236273578428,39.62503719656594,0.00027126707898098105,6245.197306147534,0.14994692213747118,29.01759546010843,842.508018891803,4.860689439384331,4618.487696844046,0.006396319234219978,0.002139566534829838,4.878857845885539,20920.30317545521,0.5015918737306039,0.6090560629670492,1.9989392003752036,0.7347439729055802,589.159393116632,0.0017976569796838203,208.82058047493405,0.045914815407857086,43.93254692060222,538.8874230430959,210308.808707124,207663496.66578716,213.3404702898716,0.005006618095171404,1256.1635883905012,0.2762013167085535,0.5363750322705173,272.39394355004663,0.002710463401557397,7.163170755024512,0.06724826260535266,210087.6836985185,3.411742942537483,0.00014734084864731234,571.386299734884,0.019888263426672353,0.39281939193215354,015
2.2.0,1.17.4,1.2.4,0.5.2,3.6.5,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},767e22198388ac93a9db95e0dfd9b3fa7e14f685,3D,"(1.0, 1.0, 1.0)","(92, 92, 92)",-77.43499065094107,-1018.0,1093.0,bfb5929d1fea827aca7b99dfa15b5ee380a5809b,"(1.0, 1.0, 1.0)","(92, 92, 92)","(19, 0, 15, 73, 92, 77)",103496.0,2.0,"(53.204133493081855, 46.925726598129394, 50.058466027672566)","(53.204133493081855, 46.925726598129394, 50.058466027672566)",0.6504518936067616,0.4139944219344395,39.44012290728815,95.2672809527224,88.48163651289458,90.37698822156003,97.6933979345585,120.54459755625716,103374.75,61.96678329446566,0.528990132549646,20136.293603250102,0.19478928464881512,103496.0,-20.0,60.0,518856354.0,2.5565772881658515,37.0,52.776535439621675,275.0,33.41626994224853,16.53321867511788,28.0,-839.0,1114.0,16.07215962755156,70.80465112008201,-6.010384146301138,518856354.0,0.2340007590267649,4739.951300477263,1250.1267087400818,36422.98671593282,-772.3520369100668,24.30174749237151,1.7219006383086775,0.8652033498689562,0.8180402593862899,1.6204960431360176,1.0295112404608653,0.6779557009722653,0.6588563492133676,0.9991962027475516,0.9829685927230728,-0.2213190613153784,0.7998305946221821,0.47345883574931386,35.27719497626932,0.08195654992228395,4.446774937106415,0.9165130773171766,0.1784702743094319,70.55438995253863,3.335054420756634,6.505912032670048,6.6244853930029635,5725.840940712685,0.05532427282902416,24.738215380197747,24218.14255623406,7.669220974422674,1245.5040291412229,147.02767256705573,186790.4935553065,0.12066522680275325,0.0009740839043661064,0.034190835740375805,35.32821616602426,6.515512887865746e-05,12924.088599025696,0.20279443640821246,11.123960387468763,1230.7496480151567,4.31525371083652,5441.436757925865,0.0038077234159676373,0.0010608576198984326,4.312886953340408,29943.643930047307,0.4617957122187467,0.6131362936360232,1.4304428242626896,0.6985736509327539,849.4647201808958,0.0008003399060411938,186.75444371296905,0.061472825448640245,58.933595241490174,953.9832126398946,687187.0454246214,881312974.7323897,536.6335007240174,0.0024148948872952294,735.0223831468071,0.24194285159539405,0.5012683210278559,436.9016771417508,0.0011997397769629755,7.300068195325571,0.02935379145087733,686026.4747536255,3.568586114684688,9.763512851495345e-05,684.5476765671239,0.004234913657332878,0.5179838137907027,016
